City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Ixtapa,MX,83.23,broken clouds,20.7,-105.2,hotel la terminal
251,Klyuchi,RU,66.81,broken clouds,52.2667,79.1667,Vesolaya Mayovka
252,Angoche,MZ,71.4,light rain,-16.2325,39.9086,Guest House HESADA
253,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
255,Shache,CN,84.47,clear sky,38.4167,77.2406,Delong Hotel
256,Diamantino,BR,68.34,clear sky,-14.4086,-56.4461,Hotel Delta
258,Bras-Panon,RE,67.89,few clouds,-20.9967,55.6782,le meublé
259,Muroto,JP,79.39,overcast clouds,33.2833,134.15,Oota Ryokan
260,Takoradi,GH,75.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
264,Souillac,MU,68.86,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
266,Chernyshevskiy,RU,69.1,broken clouds,63.0128,112.4714,Chernyseyskiy
267,Alghero,IT,69.89,few clouds,40.5589,8.3181,Smy Carlos V Alghero
268,Russell,US,86.0,broken clouds,32.3502,-85.1999,Macs
269,Bogale,MM,83.08,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
271,Preobrazheniye,RU,68.38,overcast clouds,42.9019,133.9064,Campsite Orlan
273,Marsh Harbour,BS,82.06,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
275,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
276,Dingle,PH,83.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
277,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
281,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
282,Saint-Pierre,RE,67.91,scattered clouds,-21.3393,55.4781,Alize Plage
286,Safaga,EG,85.15,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
287,Sao Joao Batista,BR,69.12,overcast clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
288,Hami,CN,82.49,clear sky,42.8,93.45,Laoyutang Resort
289,Bowen,AU,67.73,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
291,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
293,Jaciara,BR,67.1,clear sky,-15.9653,-54.9683,Taba Hotel
294,Callaguip,PH,87.82,broken clouds,18.0714,120.4867,Pangil Beach Resort
297,Nouadhibou,MR,69.82,clear sky,20.931,-17.0347,El Medina
300,Half Moon Bay,US,74.05,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
301,Matara,LK,78.49,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
302,Madingou,CG,68.47,few clouds,-4.1536,13.55,HOTEL KIM ELISA
303,Turbat,PK,89.71,light rain,26.0023,63.044,Mubashar Quarters
305,Soeng Sang,TH,82.62,overcast clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
306,Itoman,JP,88.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
307,Arcata,US,70.66,overcast clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
309,Pagudpud,PH,87.35,scattered clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
310,Seoul,KR,88.99,light rain,37.5683,126.9778,Lotte Hotel Seoul
314,San Fernando,PH,87.53,overcast clouds,15.0286,120.6898,Maharlika Hostel
317,Djibo,BF,87.08,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
318,Zwedru,LR,70.72,overcast clouds,6.0667,-8.1281,Elijah Worjloh
323,Horconcitos,PA,68.36,overcast clouds,8.4682,-81.8007,KAFETE S.A
324,Banjar,ID,82.2,overcast clouds,-8.19,114.9675,The Hamsa Resort
325,Manzhouli,CN,76.64,broken clouds,49.6,117.4333,Angala International Youth Hostel
327,Bella Union,UY,68.68,overcast clouds,-30.2752,-57.6007,Saville Free Shop
329,Jieshi,CN,81.88,overcast clouds,22.8134,115.8257,Yuehai Hotel
333,Nueva Gerona,CU,82.02,scattered clouds,21.8833,-82.8,Casa de la Alegria
334,Tuy Hoa,VN,88.66,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
335,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
338,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
339,Huntington,US,73.35,clear sky,38.4193,-82.4452,Ramada Limited Huntington
342,Port Hedland,AU,71.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
343,Kirksville,US,76.05,broken clouds,40.1948,-92.5833,Budget Host-Village Inn
347,Bilma,NE,87.35,clear sky,18.6853,12.9164,Expeditions Ténére voyages
348,Mandalgovi,MN,67.68,overcast clouds,45.7625,106.2708,В.Ганбат
349,Port Blair,IN,82.96,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Salalah,OM,78.04,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
351,Auki,SB,84.65,broken clouds,-8.7676,160.7034,Auki Motel
352,Mackay,AU,68.68,clear sky,-21.15,149.2,International Lodge Motel
355,Borba,BR,75.7,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
356,Pitimbu,BR,73.99,moderate rain,-7.4706,-34.8086,Reserva do Abiaí
357,Pacifica,US,72.28,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
358,Ganzhou,CN,84.56,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
359,Adamas,GR,75.29,clear sky,36.7333,24.4333,Aphrodite of Milos
362,Sheridan,US,75.58,clear sky,44.8333,-106.9173,Comfort Inn & Suites
365,Kirakira,SB,82.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
366,Jackson,US,78.15,broken clouds,42.4165,-122.8345,Agate Village Apartments
367,Zhangye,CN,77.97,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
368,Venice,US,81.99,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
371,Cimarron Hills,US,66.47,broken clouds,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
375,Lorengau,PG,83.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
376,Azare,NG,80.19,broken clouds,11.6765,10.1948,Mallam Ayuba Compound
377,Whitehorse,CA,79.11,thunderstorm with light rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
382,Moranbah,AU,65.16,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
384,Piacabucu,BR,73.58,few clouds,-10.4056,-36.4344,Piaçabuçu News
386,Ikom,NG,72.37,broken clouds,5.9667,8.7063,Ebenezer Beim excellence hotel
389,Kenora,CA,72.57,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
390,Benghazi,LY,79.39,clear sky,32.1167,20.0667,Tibesti Hotel
393,Basco,PH,84.61,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
396,Chifeng,CN,80.51,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
397,Balikpapan,ID,81.59,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
398,Portland,US,75.27,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
400,Omboue,GA,70.39,scattered clouds,-1.5746,9.2618,Hotel Olako
401,Paombong,PH,87.58,overcast clouds,14.8333,120.7833,Villa Sophia Alexandra Private Resort
403,Waingapu,ID,78.17,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
405,Benguela,AO,66.51,clear sky,-12.5763,13.4055,Hotel Praia Morena
407,Amarillo,US,80.38,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
408,Robertsport,LR,77.65,light rain,6.7533,-11.3686,Kwepunha Retreat
409,Ontario,US,88.39,clear sky,34.0633,-117.6509,Capri Motel
410,Botro,CI,71.08,light rain,7.8525,-5.3106,Motel de la Station BOTRO
411,Galle,LK,78.93,light rain,6.0367,80.217,Amangalla
412,Grand Gaube,MU,69.39,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
416,Kismayo,SO,76.14,overcast clouds,-0.3582,42.5454,Agan-Hotel
418,Balabac,PH,80.78,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
420,Marsa Matruh,EG,75.22,clear sky,31.3525,27.2453,Beau Site
421,Fayaoue,NC,77.86,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
422,Miyako,JP,70.97,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
423,Filadelfia,US,80.85,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
426,Buraydah,SA,80.87,clear sky,26.326,43.975,Mövenpick Qassim
427,Chakulia,IN,84.49,broken clouds,22.4833,86.7167,BKD
428,Katherine,AU,71.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
430,Yarada,IN,83.5,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
431,Pacific Grove,US,74.21,clear sky,36.6177,-121.9166,Lovers Point Inn
433,Gotsu,JP,82.94,overcast clouds,35.0,132.2167,Yurusato
435,Tautira,PF,77.77,light rain,-17.7333,-149.15,Pension Oaoa
436,Sokoni,TZ,76.28,light rain,-6.4333,39.55,Ujamaa Beach Resort
438,El Dorado,US,76.64,clear sky,38.7666,-120.5177,South Fork Group Campground
439,Gonaives,HT,78.4,clear sky,19.45,-72.6833,Vertières Doux Séjour
442,Pangai,TO,75.22,few clouds,-19.8,-174.35,Ha'apai Beach Resort
443,Maningrida,AU,78.33,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
444,Porto Novo,BJ,75.2,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
445,Kadi,IN,82.87,overcast clouds,23.3,72.3333,Meena Engineering
446,San Ramon,US,73.53,clear sky,37.7799,-121.978,San Ramon Marriott
447,Lodwar,KE,78.76,light rain,3.1191,35.5973,Solmar Gracious Hotel
448,Darnah,LY,78.48,clear sky,32.767,22.6367,فندق الفردوس
450,Cairns,AU,76.1,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
452,Sarangani,PH,84.07,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
453,Sola,VU,80.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
456,Canandaigua,US,65.86,scattered clouds,42.8742,-77.288,The Inn On The Lake
457,Olovyannaya,RU,72.37,clear sky,50.95,115.5667,Gostinitsa
458,Goya,AR,67.44,broken clouds,-29.14,-59.2626,Apart Costanera Goya
461,Buchanan,LR,76.44,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
462,La Asuncion,VE,79.16,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
464,Guiratinga,BR,65.34,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
465,Urucara,BR,76.23,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
466,Waddan,LY,76.89,clear sky,29.1614,16.139,محل الشريف محمد العايب
467,Madras,IN,81.97,overcast clouds,13.0878,80.2785,"Taj Connemara, Chennai"
470,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
472,Manggar,ID,84.74,clear sky,-2.8833,108.2667,Guest Hotel
473,Hounde,BF,77.32,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
474,Sompeta,IN,84.07,light rain,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
475,Spokane,US,81.07,few clouds,47.6166,-117.3677,Madison Inn by Riversage
476,Caibarien,CU,79.92,clear sky,22.5206,-79.4669,La Nena
478,Ambon,ID,81.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
481,Vila Do Maio,CV,73.96,overcast clouds,15.1333,-23.2167,Hotel Marilu
484,Las Varas,MX,81.03,broken clouds,21.1667,-105.1667,Casa Palapas
485,Tecoanapa,MX,81.97,overcast clouds,16.5167,-98.75,Hotel Manglares
488,Hadejia,NG,84.6,scattered clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
490,Topolobampo,MX,85.91,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
491,Hay River,CA,71.42,broken clouds,60.8156,-115.7999,Ptarmigan Inn
492,Nicoya,CR,75.02,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
493,Cedar City,US,81.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
495,Tazmalt,DZ,81.81,overcast clouds,36.3868,4.3989,Hôtel Numédia
497,Tulum,MX,78.46,few clouds,20.2167,-87.4667,Kin Ha Tulum
500,Galveston,US,86.95,clear sky,29.3669,-94.9669,Crystal Suites
502,Cermik,TR,78.3,clear sky,38.1361,39.4493,Çermik Öğretmen Evi
503,Salina,US,81.95,light rain,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
508,Saint-Leu,RE,67.32,few clouds,-21.15,55.2833,La Caz Oceane
509,Placerville,US,77.18,clear sky,38.7296,-120.7986,Historic Cary House Hotel
510,Imeni Poliny Osipenko,RU,88.12,few clouds,52.4201,136.4853,Yubileynaya
513,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
514,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
516,Manaure,CO,82.8,broken clouds,11.7751,-72.4445,Hotel Palaaima
517,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
518,Baracoa,CU,78.57,clear sky,20.3467,-74.4958,Hostal Rio Miel
519,Vaitape,PF,79.07,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
521,Havelock,US,84.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
523,Thai Binh,VN,85.53,overcast clouds,20.45,106.3333,Sweden Hotel
527,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
528,Sibolga,ID,83.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
529,Mbuji-Mayi,CD,67.93,few clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
535,Brufut,GM,80.69,scattered clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
536,Helena,US,67.19,light rain,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
537,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
539,Karratha,AU,67.17,clear sky,-20.7377,116.8463,ibis Styles Karratha
540,Tottori,JP,80.08,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
546,Riyadh,SA,86.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
