City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Namibe,AO,-15.1961,12.1522,65.21,83,0,5.68,clear sky
80,Pizhma,RU,57.8642,47.1171,64.87,88,14,2.71,few clouds
81,Tasiilaq,GL,65.6145,-37.6368,41.16,81,100,5.7,overcast clouds
82,Andenes,NO,69.3143,16.1194,51.93,87,100,9.22,overcast clouds
83,Luganville,VU,-15.5333,167.1667,82.45,77,95,10.89,moderate rain
84,Butaritari,KI,3.0707,172.7902,82.44,75,94,21.32,light rain
85,Qaanaaq,GL,77.484,-69.3632,40.06,95,100,1.68,overcast clouds
86,Vaini,TO,-21.2,-175.2,77.16,69,40,6.91,scattered clouds
87,Katsuura,JP,35.1333,140.3,76.55,82,93,13.82,overcast clouds
88,Kadoshkino,RU,54.0257,44.4191,60.42,78,30,5.08,scattered clouds
89,Norman Wells,CA,65.282,-126.8329,86.04,28,40,8.05,smoke
90,Bethel,US,41.3712,-73.414,75.54,79,53,4.61,broken clouds
91,Mandan,US,46.8267,-100.8896,82.81,66,0,1.99,clear sky
92,Fort Myers Beach,US,26.452,-81.9481,82.45,88,0,1.01,clear sky
93,Jumla,NP,29.2747,82.1838,69.66,79,54,2.66,broken clouds
94,Kulhudhuffushi,MV,6.6221,73.07,82.35,79,100,16.28,overcast clouds
95,Ozinki,RU,51.1786,49.6769,62.01,65,6,5.99,clear sky
96,Roald,NO,62.5833,6.1333,53.76,87,75,9.22,light rain
97,Broken Hill,AU,-31.95,141.4333,53.29,61,2,14.7,clear sky
98,Oranjemund,NA,-28.55,16.4333,51.96,75,0,6.44,clear sky
99,Westminster,US,39.8367,-105.0372,69.66,77,40,6.91,scattered clouds
100,Atar,MR,20.5169,-13.0499,95.59,15,59,3.18,broken clouds
101,Severo-Kurilsk,RU,50.6789,156.125,56.52,64,100,10.27,overcast clouds
102,Queanbeyan,AU,-35.35,149.2333,58.17,70,5,9.22,clear sky
103,Carnarvon,AU,-24.8667,113.6333,66.78,25,0,10.76,clear sky
104,Busselton,AU,-33.65,115.3333,52.77,82,100,10.67,overcast clouds
105,Ambulu,ID,-8.345,113.6058,79.09,68,37,3.15,scattered clouds
106,Hermanus,ZA,-34.4187,19.2345,52.74,71,10,8.59,clear sky
107,Martapura,ID,-3.4167,114.85,80.69,83,40,6.91,scattered clouds
108,Zhigansk,RU,66.7697,123.3711,65.34,47,100,9.82,overcast clouds
109,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,10.36,clear sky
110,Mezhdurechensk,RU,53.6942,88.0603,57.58,99,100,3.85,light rain
111,Lata,PT,40.1629,-8.3327,67.08,67,0,4.61,clear sky
112,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,77,69,6.8,broken clouds
113,Dauphin,CA,51.1494,-100.0502,66.34,100,100,6.91,overcast clouds
114,Mount Gambier,AU,-37.8333,140.7667,52.95,63,72,10.07,broken clouds
115,Knokke-Heist,BE,51.3333,3.3333,66.02,72,85,5.01,overcast clouds
116,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.14,45,50,3.42,scattered clouds
117,Sur,OM,22.5667,59.5289,80.6,85,100,13.65,moderate rain
118,Shingu,JP,33.7333,135.9833,80.19,77,67,5.23,broken clouds
119,Alofi,NU,-19.0595,-169.9187,78.69,61,75,16.11,broken clouds
120,Bandarbeyla,SO,9.4942,50.8122,78.57,64,43,33.67,scattered clouds
121,Chuy,UY,-33.6971,-53.4616,59.88,98,100,10.58,overcast clouds
122,Guerrero Negro,MX,27.9769,-114.0611,68.65,80,0,17.4,clear sky
123,Yeppoon,AU,-23.1333,150.7333,67.78,55,0,9.8,clear sky
124,Dzerzhinsk,RU,56.2389,43.4631,66.02,88,0,4.47,clear sky
125,The Pas,CA,53.8251,-101.2541,66.22,52,0,3.44,clear sky
126,Ilulissat,GL,69.2167,-51.1,37.67,90,100,4.72,overcast clouds
127,Yatou,CN,37.15,122.3833,76.62,90,99,14.14,overcast clouds
128,Aklavik,CA,68.2191,-135.0107,87.15,27,6,7.99,clear sky
129,Sheltozero,RU,61.3667,35.3667,57.61,89,100,7.29,light rain
130,Bengkulu,ID,-3.8004,102.2655,82.09,73,32,4.94,scattered clouds
131,Bubaque,GW,11.2833,-15.8333,80.49,80,51,11.81,broken clouds
132,Cape Town,ZA,-33.9258,18.4232,57.38,78,40,3.44,scattered clouds
133,Clinton,US,42.587,-82.9199,73.22,73,100,1.01,overcast clouds
134,Solnechnyy,RU,50.7214,136.6319,88.86,46,29,12.3,scattered clouds
135,Esperance,AU,-33.8667,121.9,56.91,81,86,14.14,overcast clouds
136,Solwezi,ZM,-12.1688,26.3894,48.61,72,0,3.24,clear sky
137,Dongying,CN,37.4564,118.4856,85.17,60,0,12.44,clear sky
138,Ponta Do Sol,PT,32.6667,-17.1,69.01,75,0,3.62,clear sky
